Played,Country,Matches_Played,Innings,Catches,Max,Ct/Inn
DJ Mitchell ,NZ,10,10,11,3,1.1
M Labuschagne ,AUS,11,11,8,2,0.727
DA Warner ,AUS,11,11,8,2,0.727
DA Miller ,SA,10,10,7,2,0.7
RA Jadeja ,IND,11,11,7,3,0.636
BA Stokes ,ENG,6,6,6,3,1
SA Engelbrecht ,NED,8,8,6,2,0.75
Shubman Gill ,IND,9,9,6,2,0.666
DP Conway ,NZ,10,10,6,2,0.6
MA Starc ,AUS,10,10,6,3,0.6
V Kohli ,IND,11,11,6,2,0.545
Usama Mir ,PAK,4,4,5,2,1.25
MJ Henry ,NZ,7,7,5,2,0.714
Mahmudullah ,BAN,8,8,5,2,0.625
JM Bairstow ,ENG,9,9,5,2,0.555
BFW de Leede ,NED,9,9,5,2,0.555
A Dutt ,NED,9,9,5,2,0.555
Ibrahim Zadran ,AFG,9,9,5,1,0.555
Litton Das ,BAN,9,9,5,2,0.555
Mohammad Nabi ,AFG,9,9,5,2,0.555
JE Root ,ENG,9,9,5,4,0.555
GD Phillips ,NZ,10,10,5,2,0.5
MJ Santner ,NZ,10,10,5,2,0.5
SS Iyer ,IND,11,11,5,2,0.454
MM Ali ,ENG,6,6,4,3,0.666
Towhid Hridoy ,BAN,7,7,4,2,0.571
DM de Silva ,SL,8,8,4,2,0.5
KIC Asalanka ,SL,9,9,4,2,0.444
Babar Azam ,PAK,9,9,4,2,0.444
DJ Malan ,ENG,9,9,4,2,0.444
GJ Maxwell ,AUS,9,9,4,1,0.444
K Rabada ,SA,9,9,4,2,0.444
TA Boult ,NZ,10,10,4,2,0.4
H Klaasen ,SA,10,10,4,2,0.4
KA Maharaj ,SA,10,10,4,2,0.4
AK Markram ,SA,10,10,4,1,0.4
HE van der Dussen ,SA,10,10,4,1,0.4
PJ Cummins ,AUS,11,11,4,2,0.363
JR Hazlewood ,AUS,11,11,4,2,0.363
Saqib Zulfiqar ,NED,2,2,3,2,1.5
Agha Salman ,PAK,3,3,3,2,1
Fakhar Zaman ,PAK,4,4,3,2,0.75
TM Head ,AUS,6,6,3,1,0.5
MDKJ Perera ,SL,7,7,3,1,0.428
T Bavuma ,SA,8,8,3,2,0.375
G Coetzee ,SA,8,8,3,2,0.375
CR Woakes ,ENG,8,8,3,1,0.375
CN Ackermann ,NED,9,9,3,2,0.333
Iftikhar Ahmed ,PAK,9,9,3,1,0.333
M Jansen ,SA,9,9,3,1,0.333
Najmul Hossain Shanto ,BAN,9,9,3,2,0.333
AU Rashid ,ENG,9,9,3,1,0.333
Rashid Khan ,AFG,9,9,3,1,0.333
Saud Shakeel ,PAK,9,9,3,1,0.333
Shaheen Shah Afridi ,PAK,9,9,3,1,0.333
Tanzid Hasan ,BAN,9,9,3,2,0.333
R Ravindra ,NZ,10,10,3,1,0.3
FDM Karunaratne ,SL,2,2,2,2,1
C Green ,AUS,3,3,2,1,0.666
KS Williamson ,NZ,4,4,2,1,0.5
LS Livingstone ,ENG,6,6,2,1,0.333
Shadab Khan ,PAK,6,6,2,1,0.333
MP Stoinis ,AUS,6,6,2,1,0.333
WA Young ,NZ,6,6,2,1,0.333
Mohammed Shami ,IND,7,7,2,2,0.285
AT Nidamanuru ,NED,7,7,2,1,0.285
Shakib Al Hasan ,BAN,7,7,2,2,0.285
Abdullah Shafique ,PAK,8,8,2,2,0.25
Naveen-ul-Haq ,AFG,8,8,2,1,0.25
M Theekshana ,SL,8,8,2,1,0.25
LV van Beek ,NED,8,8,2,1,0.25
RE van der Merwe ,NED,8,8,2,1,0.25
Mehidy Hasan Miraz ,BAN,9,9,2,2,0.222
P Nissanka ,SL,9,9,2,1,0.222
Rahmat Shah ,AFG,9,9,2,1,0.222
S Samarawickrama ,SL,9,9,2,1,0.222
PA van Meekeren ,NED,9,9,2,1,0.222
SPD Smith ,AUS,10,10,2,2,0.2
Kuldeep Yadav ,IND,11,11,2,1,0.181
RG Sharma ,IND,11,11,2,1,0.181
A Zampa ,AUS,11,11,2,1,0.181
SA Abbott ,AUS,1,1,1,1,1
MADI Hemantha ,SL,2,2,1,1,0.5
RR Hendricks ,SA,2,2,1,1,0.5
MD Shanaka ,SL,2,2,1,1,0.5
SM Curran ,ENG,3,3,1,1,0.333
C Karunaratne ,SL,3,3,1,1,0.333
Mahedi Hasan ,BAN,3,3,1,1,0.333
Nasum Ahmed ,BAN,3,3,1,1,0.333
JDS Neesham ,NZ,3,3,1,1,0.333
SN Thakur ,IND,3,3,1,1,0.333
DN Wellalage ,SL,3,3,1,1,0.333
W Barresi ,NED,4,4,1,1,0.25
Mohammad Wasim ,PAK,4,4,1,1,0.25
HH Pandya ,IND,4,4,1,1,0.25
Mohammad Nawaz ,PAK,5,5,1,1,0.2
Fazalhaq Farooqi ,AFG,6,6,1,1,0.166
Imam-ul-Haq ,PAK,6,6,1,1,0.166
CAK Rajitha ,SL,6,6,1,1,0.166
Vikramjit Singh ,NED,6,6,1,1,0.166
